,name,category,project,guest,bedroom,bathroom,price,discounted,normal price,province,state,country
134,Mimi House - Studio with Private Patio,Studio Apartment,None,2,1,1,30,0,Invalid,Hội An,Quảng Nam,Vietnam
135,Anna House - Newly modern room in the center (01),Entire House,None,2,1,1,13,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
136,Dear Homie Central Hotel,Other,None,2,1,1,17,0,Invalid,Quận 1,Hồ Chí Minh,Vietnam
137,Merry Yard Homestay Dalat - 008,Other,None,2,1,1,11,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
138,"Lovely&Modern 2Brs Apt w/ Park View,Free Pool&Gym",Service Apartment,None,6,2,2,49,1,61,Phú Nhuận,Hồ Chí Minh,Vietnam
139,"Căn hộ gần sông Hàn, có ban công, view phố, smarthome 22",Studio Apartment,None,2,1,1,17,0,Invalid,Ngũ Hành Sơn,Đà Nẵng,Vietnam
140,Big Home Dalat - Phòng đôi B1,Entire House,None,4,1,1,15,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
141,THE MOON APARTMENT   ,Condominium,None,4,1,1,26,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
142,Flame flowers homestay_Double View Garden ,Other,None,2,1,1,12,1,18,Hội An,Quảng Nam,Vietnam
143,Long 22 Vinhomes Metropolis Apartment #2BR LUXURY,None,None,5,2,2,63,0,Invalid,Ba Đình,Hà Nội,Vietnam
144,Nice seaview apartment Blue Saphire Resort,Condominium,None,6,2,2,65,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
145,Bespoke Villa Hoian - Deluxe Twin Room Garden view,Villa,None,2,1,1,19,0,Invalid,Hội An,Quảng Nam,Vietnam
146,"Stay&Fun No.4 - 60m2 studio with great view, 5 minutes walking to every famous city sights",Studio Apartment,None,5,1,1,26,1,43,Quận 1,Hồ Chí Minh,Vietnam
147,Spacious contemporary studio @ My khe beach,Service Apartment,None,3,1,1,15,1,17,Sơn Trà,Đà Nẵng,Vietnam
148,A Cosy Apartment in @Vinhomes Greenbay @1 bedroom Ha Noi,Studio Apartment,None,2,1,1,21,1,24,Nam Từ Liêm,Hà Nội,Vietnam
149,Orion Homestay - City View 2,Entire House,None,3,1,1,10,1,15,Đà Lạt,Lâm Đồng,Vietnam
150,WINDBELL VILLA / Garden view room 2,Villa,None,3,1,1,26,1,52,Hội An,Quảng Nam,Vietnam
151,"Nomad Home & Coffee - Phòng đôi Cam, WC riêng, ăn sáng",Entire House,None,2,1,1,9,1,15,Đà Lạt,Lâm Đồng,Vietnam
152,Felix's home,Other,None,3,1,4,20,0,Invalid,Sơn Trà,Đà Nẵng,Vietnam
153,SunSea Hotel&Villa,Villa,None,25,5,7,174,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
154,Maison De Lave | HOMESTAY | Jungle room-Han Brigde,Entire House,None,3,1,1,20,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
155,CHIQUILLA BOUTIQUE HOUSE - BLANCO BUDGET CHARMING,Other,None,2,1,1,13,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
156,Pinky House 23 căn hộ đầy đủ tiện nghi gần Hồ Hoàng Cầu,Other,None,2,1,1,12,1,15,Đống Đa,Hà Nội,Vietnam
157,Ann Retreat Resort Hội An- Phòng Deluxe Sang Trọng View Phố Cổ,None,None,3,1,1,42,1,52,Hội An,Quảng Nam,Vietnam
158,✦ Luxury Villa 3BR ✦Thao Dien Dist 2✦Bathtub✦Big yard✦Sai Gon River View _[Sweethost],Villa,None,7,3,2,174,0,Invalid,Quận 2,Hồ Chí Minh,Vietnam
159,Dốc.apartment coffee,Service Apartment,None,6,1,1,7,1,9,Đà Lạt,Lâm Đồng,Vietnam
160,Spotless Studio located perfectly in center HCMC,Studio Apartment,None,2,1,1,18,1,20,Quận 1,Hồ Chí Minh,Vietnam
161,Deluxe Double Room/Queen Bed/Private Bathroom/Close to old town,Villa,None,3,1,1,13,1,15,Hội An,Quảng Nam,Vietnam
162,SensesHouse5b,Studio Apartment,None,3,1,1,27,0,Invalid,Hoàn Kiếm,Hà Nội,Vietnam
163,"Betania Home Danang Beach, 2-bedroom, 2 balconies (501)",Service Apartment,None,4,2,2,22,0,Invalid,Ngũ Hành Sơn,Đà Nẵng,Vietnam
164,Cozy and Quiet Studio near Tien Son Bridge ,Studio Apartment,Halla Jade Residences,2,1,1,23,1,41,Hải Châu,Đà Nẵng,Vietnam
165,Lamer Homestay - phòng gia đình sân vườn,Other,None,6,1,1,35,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
166,Mayli Homestay Đà Lạt - Phòng đôi 2 người City View - Khu biệt thự độc lập - 5p đến trung tâm,Other,None,3,1,1,17,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
167,Soleil Apartment- Deluxe Double View,Service Apartment,None,2,1,0,33,1,37,Đống Đa,Hà Nội,Vietnam
168,Apartment for rent with 1bedroom in Phan Xich Long Street,Studio Apartment,None,2,1,1,21,0,Invalid,Phú Nhuận,Hồ Chí Minh,Vietnam
169,Betel Garden Villa,Villa,None,3,1,10,26,1,30,Hội An,Quảng Nam,Vietnam
170,Bespoke Villa Hoi An - A Home sweet home in Acient Town,Villa,None,2,1,1,20,0,Invalid,Hội An,Quảng Nam,Vietnam
171,Lam's Apartment (Superior 101),Service Apartment,None,2,1,1,17,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
172,Seasand Apartment Đà Nẵng,Service Apartment,None,3,1,1,15,1,22,Ngũ Hành Sơn,Đà Nẵng,Vietnam
173,Westlake-Central-Apartments,Service Apartment,None,2,1,1,20,1,23,Tây Hồ,Hà Nội,Vietnam
174,Super Romantic Couple Nest - Luxurious Brandnew 76m2 ,Condominium,Sunrise Cityview,2,1,1,68,1,113,Quận 7,Hồ Chí Minh,Vietnam
175,Hana House - Cabbage Room,Other,None,2,1,1,18,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
176,"À côté de rive homestay-Cozy home,quite space,rooftop for BBQ,near Ancient area",Other,None,2,1,1,13,1,15,Đống Đa,Hà Nội,Vietnam
177,1 King bed_Bathtub@Partial Sea View,Service Apartment,None,3,1,1,23,1,26,Ngũ Hành Sơn,Đà Nẵng,Vietnam
178,"[-20%] 1BR Amazing view, Clean room❤️Free Breakfast&Biclycle❤️Green Hill Villa Hoi An",Villa,None,2,1,1,17,0,Invalid,Hội An,Quảng Nam,Vietnam
179,"5BR, Fabulous villa for 10 people, Hoi An, Vietnam",Villa,None,10,5,5,109,0,Invalid,Hội An,Quảng Nam,Vietnam
180,Scandinavian room @ No.10 Homestay,Other,None,3,1,1,17,1,22,Đống Đa,Hà Nội,Vietnam
181,Staycious Dalat 2*Deluxe room*B.2.1*,Entire House,None,3,1,1,20,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
182,Vung Tau Milan Homestay 6 - Melody Queen Appartment,Condominium,Vũng Tàu Melody,12,2,2,25,1,28,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
183,Yellow Lantern Room | Near the beach | Relaxed Area ,Entire House,None,3,1,1,23,1,26,Ngũ Hành Sơn,Đà Nẵng,Vietnam
184,HomeAway - Homestay Vung Tau,Condominium,None,6,2,1,28,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
185,Panorama Old Quarter view 2br + extra bed for 6pax,None,None,6,2,2,30,1,43,Hoàn Kiếm,Hà Nội,Vietnam
186,Triple Studio Room with attached Kichenette and Dining area/Family/Long-term Stay,Villa,None,4,1,1,22,1,25,Hội An,Quảng Nam,Vietnam
187,NEW! Yellow Submarine 3rd @500meters from the beach,Studio Apartment,None,2,1,1,31,0,Invalid,Sơn Trà,Đà Nẵng,Vietnam
188,Indochine Style Studio@Experience Locals Lifestyle,Condominium,None,3,1,1,54,0,Invalid,Quận 1,Hồ Chí Minh,Vietnam
189,An Khang 401 · ☀Bright Comfy Double ☀ Breakfast ☀ 2' to FUTA bus,Other,None,4,1,1,17,1,20,Đà Lạt,Lâm Đồng,Vietnam
190,"Style,Cozy,Nice House 3BR in super central",Entire House,None,10,3,3,35,0,Invalid,Thanh Khê,Đà Nẵng,Vietnam
191,Lula ★Vintage Studio★ Perfect Getaway | Saigon Central,Condominium,None,2,1,1,20,1,28,Quận 1,Hồ Chí Minh,Vietnam
192,Flame flowers homestay_Double with Balcony 01,Other,None,2,1,1,13,1,19,Hội An,Quảng Nam,Vietnam
193,CozyNook 2 Stunning Apartments in heart of Dalat,Studio Apartment,None,4,1,1,20,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
194,The Green Mango Villa,Villa,None,20,5,6,174,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
195,Villa Viet Home 1,Villa,None,30,6,6,148,1,174,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
196,Westlake Lotus - Superior Double room,Studio Apartment,None,2,1,1,15,0,Invalid,Tây Hồ,Hà Nội,Vietnam
197,Family Room with Separate Rooms,Service Apartment,None,6,2,2,28,1,35,Hải Châu,Đà Nẵng,Vietnam
198,Lim Orange-tiny apartment-1 bedroom-Phu My Hung Urban,Service Apartment,Mỹ Quang,3,1,1,39,0,Invalid,Quận 7,Hồ Chí Minh,Vietnam
199,Sân Mây Homestay*beautiful view*outdoor bbq area,Villa,None,3,1,1,21,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
200,"Bungalow lãng mạn cho cặp đôi với vườn riêng, 3 phút ra biển An Bàng",Studio Apartment,None,3,1,1,30,0,Invalid,Hội An,Quảng Nam,Vietnam
201,"Spacious/cozy/comfy room, centre Hoan Kiem- R101",Entire House,None,2,1,1,15,1,20,Hoàn Kiếm,Hà Nội,Vietnam
202,"Pleasant home upto 7 people, Hoi An, Vietnam",Villa,None,7,3,3,83,0,Invalid,Hội An,Quảng Nam,Vietnam
203,LUCKY STUDIO APARTMENT (including Breakfast),Service Apartment,None,3,1,1,28,1,35,Hải Châu,Đà Nẵng,Vietnam
204,Amia Cosiana - Standard ,Entire House,None,3,1,1,13,1,22,Đà Lạt,Lâm Đồng,Vietnam
205,Universe Nguyen Kiem Apartment,Studio Apartment,None,2,1,1,11,0,Invalid,Phú Nhuận,Hồ Chí Minh,Vietnam
206,"VTX - Biệt thự hồ bơi Vũng Tàu view núi, Phòng Karaoke hiện đại",Villa,None,25,5,4,186,1,196,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
207,"Luxury Duplex (2 tầng) 260m2 ** 3 br + extra bed for 10 pax. Free gửi xe ô tô, Lễ tân 24/7",Service Apartment,None,10,3,3,46,1,65,Hoàn Kiếm,Hà Nội,Vietnam
